This file was created using the 202405 Bloomberg database.

Missing data are indicated by -99.99.



,WML
200802    ,1.76
200803    ,0.23
200804    ,0.15
200805    ,4.40
200806    ,9.49
200807   ,-2.23
200808   ,-4.99
200809    ,3.77
200810   ,10.14
200811    ,2.39
200812   ,-0.72
200901    ,3.32
200902    ,4.50
200903  ,-10.31
200904  ,-26.09
200905   ,-7.71
200906    ,2.46
200907   ,-1.56
200908   ,-9.28
200909   ,-2.80
200910    ,3.70
200911    ,1.91
200912    ,0.21
201001    ,0.54
201002    ,0.24
201003    ,5.15
201004    ,2.20
201005    ,0.96
201006    ,1.65
201007   ,-1.86
201008    ,3.80
201009    ,4.35
201010    ,0.19
201011    ,7.91
201012    ,1.88
201101   ,-5.51
201102   ,-0.17
201103    ,2.18
201104    ,2.49
201105    ,0.60
201106    ,2.34
201107    ,1.62
201108   ,-0.42
201109   ,-1.19
201110    ,0.10
201111    ,6.22
201112    ,2.86
201201   ,-8.99
201202   ,-1.86
201203    ,3.83
201204    ,8.94
201205    ,7.43
201206   ,-3.77
201207    ,4.66
201208   ,-2.93
201209   ,-0.91
201210    ,0.58
201211    ,2.37
201212   ,-0.97
201301   ,-0.40
201302    ,4.54
201303    ,2.65
201304    ,0.98
201305    ,0.54
201306    ,1.20
201307    ,3.60
201308   ,-2.35
201309    ,2.42
201310    ,1.98
201311    ,2.55
201312    ,1.50
201401    ,2.32
201402    ,2.20
201403   ,-0.99
201404   ,-3.54
201405   ,-0.23
201406    ,0.33
201407   ,-0.58
201408    ,0.33
201409    ,2.49
201410    ,1.08
201411   ,-0.62
201412    ,1.98
201501    ,3.51
201502   ,-3.97
201503    ,1.57
201504   ,-2.14
201505    ,3.56
201506    ,0.91
201507    ,3.53
201508    ,2.12
201509    ,4.28
201510   ,-1.56
201511    ,2.61
201512    ,4.01
201601    ,1.15
201602   ,-0.70
201603   ,-1.49
201604   ,-3.91
201605    ,3.81
201606    ,7.10
201607   ,-0.10
201608   ,-1.76
201609    ,3.13
201610   ,-0.82
201611   ,-2.05
201612   ,-1.96
201701    ,2.83
201702   ,-1.60
201703    ,0.02
201704    ,0.24
201705   ,-0.44
201706    ,1.55
201707    ,1.96
201708    ,1.33
201709    ,0.63
201710    ,1.22
201711    ,0.30
201712   ,-1.42
201801    ,2.96
201802    ,0.62
201803   ,-0.43
201804    ,0.70
201805    ,2.00
201806   ,-0.66
201807   ,-0.56
201808    ,2.42
201809    ,1.59
201810   ,-1.47
201811   ,-2.09
201812    ,3.24
201901   ,-2.23
201902   ,-1.16
201903    ,4.51
201904   ,-4.39
201905    ,8.50
201906   ,-0.45
201907    ,1.39
201908    ,3.28
201909   ,-2.29
201910   ,-1.22
201911    ,0.69
201912    ,1.66
202001    ,3.55
202002    ,0.76
202003    ,7.57
202004    ,1.02
202005    ,2.90
202006    ,0.75
202007    ,6.71
202008    ,0.04
202009    ,4.86
202010    ,0.66
202011  ,-18.39
202012    ,2.13
202101    ,2.39
202102   ,-4.52
202103   ,-1.66
202104    ,1.67
202105    ,0.78
202106   ,-0.91
202107    ,2.57
202108    ,0.06
202109   ,-0.59
202110    ,2.73
202111   ,-0.46
202112    ,0.03
202201   ,-5.09
202202   ,-0.02
202203    ,4.17
202204    ,2.04
202205   ,-1.64
202206    ,3.96
202207   ,-2.86
202208    ,6.28
202209    ,4.04
202210   ,-1.31
202211   ,-5.29
202212    ,2.87
202301   ,-5.26
202302    ,1.56
202303    ,0.21
202304   ,-0.40
202305    ,2.50
202306    ,1.99
202307   ,-2.57
202308    ,1.20
202309    ,0.04
202310    ,1.27
202311    ,1.41
202312   ,-3.82
202401    ,3.27
202402    ,3.35
202403    ,0.38
202404   ,-0.92
202405    ,0.94
